RUN,REGION,YEAR,VALUE
nz-2050_hp-01,E07000213,2035,479.5779663580389
nz-2050_hp-01,E07000213,2040,474.73756957506504
nz-2050_hp-01,E07000213,2045,455.1104510381226
nz-2050_hp-01,E07000213,2050,502.88883763534017
nz-2050_hp-01,E07000213,2055,505.2596596901991
nz-2050_hp-01,E07000213,2060,745.4598734663958
nz-2050_hp-01,E07000214,2015,496.66815209878047
nz-2050_hp-01,E07000214,2021,654.0990000631774
nz-2050_hp-01,E07000214,2023,577.0128976700989
nz-2050_hp-01,E07000214,2025,518.1855273372577
nz-2050_hp-01,E07000214,2030,524.1897318721831
nz-2050_hp-01,E07000214,2035,524.1014596273457
nz-2050_hp-01,E07000214,2040,511.50096629476093
nz-2050_hp-01,E07000214,2045,457.40179242825235
nz-2050_hp-01,E07000214,2050,502.071988056526
nz-2050_hp-01,E07000214,2055,487.8056520100223
nz-2050_hp-01,E07000214,2060,783.4529696853866
nz-2050_hp-01,E07000215,2015,628.6047501261321
nz-2050_hp-01,E07000215,2021,829.1910159326845
nz-2050_hp-01,E07000215,2023,752.4565332747679
nz-2050_hp-01,E07000215,2025,657.6624833428607
nz-2050_hp-01,E07000215,2030,666.258644229581
nz-2050_hp-01,E07000215,2035,652.0548388703339
nz-2050_hp-01,E07000215,2040,614.729583936547
nz-2050_hp-01,E07000215,2045,542.1749477993948
nz-2050_hp-01,E07000215,2050,601.1498055266023
nz-2050_hp-01,E07000215,2055,555.5352467546783
nz-2050_hp-01,E07000215,2060,910.8342728729889
nz-2050_hp-01,E07000216,2015,567.5807960337916
nz-2050_hp-01,E07000216,2021,746.1463721305721
nz-2050_hp-01,E07000216,2023,676.7850552242995
nz-2050_hp-01,E07000216,2025,593.1631566808843
nz-2050_hp-01,E07000216,2030,602.5964790098913
nz-2050_hp-01,E07000216,2035,594.6518805183097
nz-2050_hp-01,E07000216,2040,551.789300297038
nz-2050_hp-01,E07000216,2045,483.79648462411825
nz-2050_hp-01,E07000216,2050,543.9112884227379
nz-2050_hp-01,E07000216,2055,506.2170439333023
nz-2050_hp-01,E07000216,2060,841.5845696777012
nz-2050_hp-01,E07000217,2015,437.21497582795587
nz-2050_hp-01,E07000217,2021,575.775291090243
nz-2050_hp-01,E07000217,2023,510.32449965144355
nz-2050_hp-01,E07000217,2025,453.1915062658452
nz-2050_hp-01,E07000217,2030,451.45238308881784
nz-2050_hp-01,E07000217,2035,451.49003413864887
nz-2050_hp-01,E07000217,2040,444.5871065374596
nz-2050_hp-01,E07000217,2045,421.6747609326838
nz-2050_hp-01,E07000217,2050,473.5023230702452
nz-2050_hp-01,E07000217,2055,474.2160657188024
nz-2050_hp-01,E07000217,2060,648.5170535962842
nz-2050_hp-01,E07000218,2015,600.7346990272667
nz-2050_hp-01,E07000218,2021,771.5049556865547
nz-2050_hp-01,E07000218,2023,695.3565877704604
nz-2050_hp-01,E07000218,2025,611.622406015916
nz-2050_hp-01,E07000218,2030,619.365760599309
nz-2050_hp-01,E07000218,2035,604.2312866030409
nz-2050_hp-01,E07000218,2040,559.147966646597
nz-2050_hp-01,E07000218,2045,478.27525102677396
nz-2050_hp-01,E07000218,2050,531.7408025075232
nz-2050_hp-01,E07000218,2055,491.2331777934158
nz-2050_hp-01,E07000218,2060,810.0105538392812
nz-2050_hp-01,E07000219,2015,419.9161376595035
nz-2050_hp-01,E07000219,2021,557.9653241430942
nz-2050_hp-01,E07000219,2023,491.13641414919823
nz-2050_hp-01,E07000219,2025,434.24389621321563
nz-2050_hp-01,E07000219,2030,428.6056560468237
nz-2050_hp-01,E07000219,2035,430.80864946288807
nz-2050_hp-01,E07000219,2040,425.85471354478307
nz-2050_hp-01,E07000219,2045,419.10907099508444
nz-2050_hp-01,E07000219,2050,457.1902782071201
nz-2050_hp-01,E07000219,2055,451.8992922230359
nz-2050_hp-01,E07000219,2060,664.754865183935
nz-2050_hp-01,E07000220,2015,547.1017044682416
nz-2050_hp-01,E07000220,2021,716.2175830694658
nz-2050_hp-01,E07000220,2023,639.3970987034916
nz-2050_hp-01,E07000220,2025,541.4889008269695
nz-2050_hp-01,E07000220,2030,527.0080089910336
nz-2050_hp-01,E07000220,2035,472.8593031929646
nz-2050_hp-01,E07000220,2040,426.5542272185416
nz-2050_hp-01,E07000220,2045,375.74308153672746
nz-2050_hp-01,E07000220,2050,378.3587786785036
nz-2050_hp-01,E07000220,2055,386.24395255479163
nz-2050_hp-01,E07000220,2060,631.2111140588258
nz-2050_hp-01,E07000221,2015,565.8341301153607
nz-2050_hp-01,E07000221,2021,745.0419384073459
nz-2050_hp-01,E07000221,2023,678.5123101441628
nz-2050_hp-01,E07000221,2025,585.6033650153797
nz-2050_hp-01,E07000221,2030,595.2904361492302
nz-2050_hp-01,E07000221,2035,565.6378535944341
nz-2050_hp-01,E07000221,2040,500.3022954825572
nz-2050_hp-01,E07000221,2045,438.1957554815529
nz-2050_hp-01,E07000221,2050,464.28300368658313
nz-2050_hp-01,E07000221,2055,442.2200046572118
nz-2050_hp-01,E07000221,2060,745.9082601427721
nz-2050_hp-01,E07000222,2015,509.138874951658
nz-2050_hp-01,E07000222,2021,669.2250574351415
nz-2050_hp-01,E07000222,2023,592.327227815393
nz-2050_hp-01,E07000222,2025,525.2788389137252
nz-2050_hp-01,E07000222,2030,530.9209129646396
nz-2050_hp-01,E07000222,2035,523.8234315729318
nz-2050_hp-01,E07000222,2040,506.5870353868597
nz-2050_hp-01,E07000222,2045,470.1071126666937
nz-2050_hp-01,E07000222,2050,504.2173932407998
nz-2050_hp-01,E07000222,2055,478.7801756674266
nz-2050_hp-01,E07000222,2060,744.21547332977
nz-2050_hp-01,E07000223,2015,393.27778735195443
nz-2050_hp-01,E07000223,2021,512.1760100833651
nz-2050_hp-01,E07000223,2023,457.79144683828076
nz-2050_hp-01,E07000223,2025,406.12558449532065
nz-2050_hp-01,E07000223,2030,409.02878990042245
nz-2050_hp-01,E07000223,2035,408.0542611252516
nz-2050_hp-01,E07000223,2040,405.99884081426904
nz-2050_hp-01,E07000223,2045,388.36948191240026
nz-2050_hp-01,E07000223,2050,422.149619367515
nz-2050_hp-01,E07000223,2055,394.9911640555076
nz-2050_hp-01,E07000223,2060,558.013319711902
nz-2050_hp-01,E07000224,2015,398.35372983578105
nz-2050_hp-01,E07000224,2021,529.0101336797321
nz-2050_hp-01,E07000224,2023,469.42407012142615
nz-2050_hp-01,E07000224,2025,412.72292141791513
nz-2050_hp-01,E07000224,2030,414.3242874361564
nz-2050_hp-01,E07000224,2035,411.63788178005734
nz-2050_hp-01,E07000224,2040,410.25252038141025
nz-2050_hp-01,E07000224,2045,382.81282034488
nz-2050_hp-01,E07000224,2050,409.466417084052
nz-2050_hp-01,E07000224,2055,393.9427272371478
nz-2050_hp-01,E07000224,2060,579.0310292421531
nz-2050_hp-01,E07000225,2015,593.6114944365117
nz-2050_hp-01,E07000225,2021,779.7550028455933
nz-2050_hp-01,E07000225,2023,713.7960171368567
nz-2050_hp-01,E07000225,2025,614.4366102192234
nz-2050_hp-01,E07000225,2030,618.5368611756612
nz-2050_hp-01,E07000225,2035,579.669826308063
nz-2050_hp-01,E07000225,2040,503.0278530652614
nz-2050_hp-01,E07000225,2045,432.047593670834
nz-2050_hp-01,E07000225,2050,449.75599722734734
nz-2050_hp-01,E07000225,2055,430.69237981730714
nz-2050_hp-01,E07000225,2060,653.0876793056511
nz-2050_hp-01,E07000226,2015,419.5470634502128
nz-2050_hp-01,E07000226,2021,560.4365567356688
nz-2050_hp-01,E07000226,2023,484.75274348460806
nz-2050_hp-01,E07000226,2025,436.5197333103022
nz-2050_hp-01,E07000226,2030,437.4898746314768
nz-2050_hp-01,E07000226,2035,437.81709283424243
nz-2050_hp-01,E07000226,2040,432.82699415592873
nz-2050_hp-01,E07000226,2045,414.72689698488597
