REGION,PROPERTY_TYPE,YEAR,VALUE
E06000013,Semi-detached,2040,44195.4
E06000013,Semi-detached,2045,44840.4
E06000013,Semi-detached,2050,45509.4
E06000013,Semi-detached,2055,46183.4
E06000013,Semi-detached,2060,46607.0
E06000013,Terraced,2015,11719.166666666666
E06000013,Terraced,2021,11947.5
E06000013,Terraced,2023,12083.0
E06000013,Terraced,2025,12277.2
E06000013,Terraced,2030,12547.0
E06000013,Terraced,2035,12790.0
E06000013,Terraced,2040,12992.6
E06000013,Terraced,2045,13180.2
E06000013,Terraced,2050,13367.8
E06000013,Terraced,2055,13574.4
E06000013,Terraced,2060,13695.0
E06000014,Detached,2015,13800.0
E06000014,Detached,2021,14036.0
E06000014,Detached,2023,14127.0
E06000014,Detached,2025,14298.2
E06000014,Detached,2030,14541.6
E06000014,Detached,2035,14753.8
E06000014,Detached,2040,14935.0
E06000014,Detached,2045,15126.2
E06000014,Detached,2050,15314.8
E06000014,Detached,2055,15499.8
E06000014,Detached,2060,15617.0
E06000014,Flats,2015,16764.833333333332
E06000014,Flats,2021,18138.0
E06000014,Flats,2023,18249.5
E06000014,Flats,2025,18473.4
E06000014,Flats,2030,18780.2
E06000014,Flats,2035,19057.2
E06000014,Flats,2040,19300.0
E06000014,Flats,2045,19542.0
E06000014,Flats,2050,19792.6
E06000014,Flats,2055,20029.6
E06000014,Flats,2060,20189.0
E06000014,Semi-detached,2015,34243.5
E06000014,Semi-detached,2021,34495.5
E06000014,Semi-detached,2023,34704.0
E06000014,Semi-detached,2025,35121.8
E06000014,Semi-detached,2030,35699.4
E06000014,Semi-detached,2035,36203.6
E06000014,Semi-detached,2040,36668.8
E06000014,Semi-detached,2045,37131.8
E06000014,Semi-detached,2050,37604.4
E06000014,Semi-detached,2055,38072.8
E06000014,Semi-detached,2060,38361.0
E06000014,Terraced,2015,24246.0
E06000014,Terraced,2021,24532.0
E06000014,Terraced,2023,24688.0
E06000014,Terraced,2025,24985.0
E06000014,Terraced,2030,25400.8
E06000014,Terraced,2035,25764.2
E06000014,Terraced,2040,26093.8
E06000014,Terraced,2045,26425.0
E06000014,Terraced,2050,26762.8
E06000014,Terraced,2055,27096.2
E06000014,Terraced,2060,27303.0
E06000015,Detached,2015,18173.166666666668
E06000015,Detached,2021,18592.5
E06000015,Detached,2023,18737.0
E06000015,Detached,2025,19021.8
E06000015,Detached,2030,19479.4
E06000015,Detached,2035,19947.2
E06000015,Detached,2040,20390.8
E06000015,Detached,2045,20824.6
E06000015,Detached,2050,21287.4
E06000015,Detached,2055,21757.8
E06000015,Detached,2060,22051.0
E06000015,Flats,2015,17025.333333333332
E06000015,Flats,2021,17717.5
E06000015,Flats,2023,17860.0
E06000015,Flats,2025,18130.6
E06000015,Flats,2030,18566.4
E06000015,Flats,2035,19018.6
E06000015,Flats,2040,19440.6
E06000015,Flats,2045,19857.4
