YEAR,RUN,TECHNOLOGY,VALUE
2045,nz-2040_hp-01,Electric resistance heater,715.909856462559
2045,nz-2040_hp-01,Biomass boiler,0.00492930460744983
2045,nz-2040_hp-01,Heat interface unit,51771.49815760713
2045,nz-2040_hp-01,Air-source HP,1233181.9345135118
2045,nz-2040_hp-01,Ground-source HP,60591.061760869496
2045,nz-2040_hp-01,H2 boiler,295422.21172651433
2045,nz-2040_hp-01,Building retrofit,112445.41133017745
2045,nz-2045_hp-00,Gas boiler,0.0
2045,nz-2045_hp-00,Oil boiler,0.0
2045,nz-2045_hp-00,Electric storage heater,0.014520384153928801
2045,nz-2045_hp-00,Electric resistance heater,23603.37425512367
2045,nz-2045_hp-00,Biomass boiler,218.038634782935
2045,nz-2045_hp-00,Heat interface unit,153348.8926645341
2045,nz-2045_hp-00,Air-source HP,1277317.24919164
2045,nz-2045_hp-00,Ground-source HP,168040.22005842865
2045,nz-2045_hp-00,H2 boiler,4663.3195147207025
2045,nz-2045_hp-00,Building retrofit,109950.04656055685
2045,nz-2045_hp-01,Gas boiler,0.0
2045,nz-2045_hp-01,Oil boiler,0.0
2045,nz-2045_hp-01,Electric storage heater,0.013892379864767015
2045,nz-2045_hp-01,Electric resistance heater,37824.21226108987
2045,nz-2045_hp-01,Biomass boiler,216.2486698050439
2045,nz-2045_hp-01,Heat interface unit,142369.5545740507
2045,nz-2045_hp-01,Air-source HP,1280608.9960475792
2045,nz-2045_hp-01,Ground-source HP,160151.531745806
2045,nz-2045_hp-01,H2 boiler,3434.460735340834
2045,nz-2045_hp-01,Building retrofit,112536.13354858987
2045,nz-2050_hp-00,Gas boiler,907285.6491642857
2045,nz-2050_hp-00,Oil boiler,269073.31245508883
2045,nz-2050_hp-00,Electric storage heater,0.0004717098555920451
2045,nz-2050_hp-00,Electric resistance heater,116119.89298298482
2045,nz-2050_hp-00,Biomass boiler,218.9529496986534
2045,nz-2050_hp-00,Heat interface unit,328802.10566089273
2045,nz-2050_hp-00,Air-source HP,25158.538188247803
2045,nz-2050_hp-00,Ground-source HP,0.0005004047621469927
2045,nz-2050_hp-00,H2 boiler,0.02061127115724201
2045,nz-2050_hp-00,Building retrofit,90482.66646869718
2045,nz-2050_hp-01,Gas boiler,0.0
2045,nz-2050_hp-01,Oil boiler,0.0
2045,nz-2050_hp-01,Electric storage heater,0.03032257618640962
2045,nz-2050_hp-01,Electric resistance heater,807810.703370552
2045,nz-2050_hp-01,Biomass boiler,4355.509581883278
2045,nz-2050_hp-01,Heat interface unit,588922.6044667804
2045,nz-2050_hp-01,Air-source HP,206537.31903861905
2045,nz-2050_hp-01,Ground-source HP,2045.7706156456773
2045,nz-2050_hp-01,H2 boiler,2782.839826948056
2045,nz-2050_hp-01,Building retrofit,124686.3750312633
2050,nz-2040_hp-00,Gas boiler,0.0
2050,nz-2040_hp-00,Oil boiler,0.0
2050,nz-2040_hp-00,Electric storage heater,0.057968933443331504
2050,nz-2040_hp-00,Electric resistance heater,128143.65383915452
2050,nz-2040_hp-00,Biomass boiler,254.43482914575378
2050,nz-2040_hp-00,Heat interface unit,5512.105560010582
2050,nz-2040_hp-00,Air-source HP,1365254.8606336468
2050,nz-2040_hp-00,Ground-source HP,144058.09217638534
2050,nz-2040_hp-00,H2 boiler,6133.393820187888
2050,nz-2040_hp-00,Building retrofit,115251.3984421292
2050,nz-2040_hp-01,Gas boiler,0.0
2050,nz-2040_hp-01,Oil boiler,0.0
2050,nz-2040_hp-01,Electric storage heater,0.009545134876737266
2050,nz-2040_hp-01,Electric resistance heater,896.4130263793977
2050,nz-2040_hp-01,Biomass boiler,0.0055872771513403585
2050,nz-2040_hp-01,Heat interface unit,48726.4597898003
2050,nz-2040_hp-01,Air-source HP,1238061.9804353155
2050,nz-2040_hp-01,Ground-source HP,63265.0865747798
2050,nz-2040_hp-01,H2 boiler,352921.58493827697
2050,nz-2040_hp-01,Building retrofit,113824.29877326744
2050,nz-2045_hp-00,Gas boiler,0.0
2050,nz-2045_hp-00,Oil boiler,0.0
2050,nz-2045_hp-00,Electric storage heater,0.023130229339375752
2050,nz-2045_hp-00,Electric resistance heater,28659.119540106003
2050,nz-2045_hp-00,Biomass boiler,217.9002443628509
2050,nz-2045_hp-00,Heat interface unit,146609.2608339796
2050,nz-2045_hp-00,Air-source HP,1303471.0688699596
2050,nz-2045_hp-00,Ground-source HP,169839.41140477636
2050,nz-2045_hp-00,H2 boiler,2924.6827288024306
