,RUN,REGION,EMISSION,VALUE
594,HP,E08000017,CD,2050
595,HP,E08000018,CD,2045
596,HP,E08000019,CD,2050
597,HP,E08000021,CD,2050
598,HP,E08000022,CD,2050
599,HP,E08000023,CD,2050
600,HP,E08000024,CD,2050
601,HP,E08000025,CD,2050
602,HP,E08000026,CD,2050
603,HP,E08000027,CD,2050
604,HP,E08000028,CD,2050
605,HP,E08000029,CD,2050
606,HP,E08000030,CD,2050
607,HP,E08000031,CD,2050
608,HP,E08000032,CD,2050
609,HP,E08000033,CD,2045
610,HP,E08000034,CD,2050
611,HP,E08000035,CD,2050
612,HP,E08000036,CD,2050
613,HP,E08000037,CD,2050
614,HP,E09000001,CD,2050
615,HP,E09000002,CD,2050
616,HP,E09000003,CD,2050
617,HP,E09000004,CD,2050
618,HP,E09000005,CD,2050
619,HP,E09000006,CD,2050
620,HP,E09000007,CD,2050
621,HP,E09000008,CD,2050
622,HP,E09000009,CD,2050
623,HP,E09000010,CD,2050
624,HP,E09000011,CD,2050
625,HP,E09000012,CD,2050
626,HP,E09000013,CD,2050
627,HP,E09000014,CD,2050
628,HP,E09000015,CD,2050
629,HP,E09000016,CD,2050
630,HP,E09000017,CD,2050
631,HP,E09000018,CD,2050
632,HP,E09000019,CD,2050
633,HP,E09000020,CD,2050
634,HP,E09000021,CD,2050
635,HP,E09000022,CD,2050
636,HP,E09000023,CD,2050
637,HP,E09000024,CD,2050
638,HP,E09000025,CD,2050
639,HP,E09000026,CD,2050
640,HP,E09000027,CD,2050
641,HP,E09000028,CD,2050
642,HP,E09000029,CD,2050
643,HP,E09000030,CD,2050
644,HP,E09000031,CD,2050
645,HP,E09000032,CD,2050
646,HP,E09000033,CD,2050
647,HP,S12000005,CD,2045
648,HP,S12000006,CD,2045
649,HP,S12000008,CD,2045
650,HP,S12000010,CD,2045
651,HP,S12000011,CD,2050
652,HP,S12000013,CD,2040
653,HP,S12000014,CD,2045
654,HP,S12000017,CD,2045
655,HP,S12000018,CD,2045
656,HP,S12000019,CD,2045
657,HP,S12000020,CD,2045
658,HP,S12000021,CD,2045
659,HP,S12000023,CD,2040
660,HP,S12000026,CD,2045
661,HP,S12000027,CD,2040
662,HP,S12000028,CD,2045
663,HP,S12000029,CD,2045
664,HP,S12000030,CD,2045
665,HP,S12000033,CD,2050
666,HP,S12000034,CD,2045
667,HP,S12000035,CD,2045
668,HP,S12000036,CD,2050
669,HP,S12000038,CD,2050
670,HP,S12000039,CD,2050
671,HP,S12000040,CD,2050
672,HP,S12000041,CD,2045
673,HP,S12000042,CD,2050
674,HP,S12000045,CD,2050
675,HP,S12000047,CD,2045
676,HP,S12000048,CD,2045
677,HP,S12000049,CD,2050
678,HP,S12000050,CD,2050
679,HP,UK,CD,2050
680,HP,W06000001,CD,2045
681,HP,W06000002,CD,2045
682,HP,W06000003,CD,2045
683,HP,W06000004,CD,2045
684,HP,W06000005,CD,2045
685,HP,W06000006,CD,2045
686,HP,W06000008,CD,2045
687,HP,W06000009,CD,2045
688,HP,W06000010,CD,2045
689,HP,W06000011,CD,2045
690,HP,W06000012,CD,2045
691,HP,W06000013,CD,2050
692,HP,W06000014,CD,2045
693,HP,W06000015,CD,2050
694,HP,W06000016,CD,2050
695,HP,W06000018,CD,2045
696,HP,W06000019,CD,2045
697,HP,W06000020,CD,2045
698,HP,W06000021,CD,2045
699,HP,W06000022,CD,2045
700,HP,W06000023,CD,2045
701,HP,W06000024,CD,2045
702,H2,E06000001,CD,2050
703,H2,E06000002,CD,2050
704,H2,E06000003,CD,2045
705,H2,E06000004,CD,2050
706,H2,E06000005,CD,2050
707,H2,E06000006,CD,2050
708,H2,E06000007,CD,2050
709,H2,E06000008,CD,2050
710,H2,E06000009,CD,2050
711,H2,E06000010,CD,2050
712,H2,E06000011,CD,2050
713,H2,E06000012,CD,2050
714,H2,E06000013,CD,2050
715,H2,E06000014,CD,2050
716,H2,E06000015,CD,2045
717,H2,E06000016,CD,2050
718,H2,E06000017,CD,2050
719,H2,E06000018,CD,2050
720,H2,E06000019,CD,2050
721,H2,E06000020,CD,2050
722,H2,E06000021,CD,2050
723,H2,E06000022,CD,2050
724,H2,E06000023,CD,2050
725,H2,E06000024,CD,2050
726,H2,E06000025,CD,2050
727,H2,E06000026,CD,2050
728,H2,E06000027,CD,2050
729,H2,E06000030,CD,2050
730,H2,E06000031,CD,2045
731,H2,E06000032,CD,2050
732,H2,E06000033,CD,2050
733,H2,E06000034,CD,2050
734,H2,E06000035,CD,2050
735,H2,E06000036,CD,2050
736,H2,E06000037,CD,2045
737,H2,E06000038,CD,2050
738,H2,E06000039,CD,2050
739,H2,E06000040,CD,2050
740,H2,E06000041,CD,2045
741,H2,E06000042,CD,2050
742,H2,E06000043,CD,2050
743,H2,E06000044,CD,2050
744,H2,E06000045,CD,2050
745,H2,E06000046,CD,2050
746,H2,E06000047,CD,2050
747,H2,E06000049,CD,2050
748,H2,E06000050,CD,2050
749,H2,E06000051,CD,2050
750,H2,E06000052,CD,2050
751,H2,E06000053,CD,2045
752,H2,E06000054,CD,2050
753,H2,E06000055,CD,2050
754,H2,E06000056,CD,2050
755,H2,E06000057,CD,2050
756,H2,E06000058,CD,2050
757,H2,E06000059,CD,2050
758,H2,E06000060,CD,2050
759,H2,E06000061,CD,2050
760,H2,E06000062,CD,2045
761,H2,E06000063,CD,2050
762,H2,E06000064,CD,2050
763,H2,E06000065,CD,2050
764,H2,E06000066,CD,2050
765,H2,E07000008,CD,2050
766,H2,E07000009,CD,2045
767,H2,E07000010,CD,2045
768,H2,E07000011,CD,2045
769,H2,E07000012,CD,2045
770,H2,E07000032,CD,2050
771,H2,E07000033,CD,2050
772,H2,E07000034,CD,2045
773,H2,E07000035,CD,2050
774,H2,E07000036,CD,2050
775,H2,E07000037,CD,2050
776,H2,E07000038,CD,2050
777,H2,E07000039,CD,2050
778,H2,E07000040,CD,2050
779,H2,E07000041,CD,2050
780,H2,E07000042,CD,2050
781,H2,E07000043,CD,2050
782,H2,E07000044,CD,2050
783,H2,E07000045,CD,2050
784,H2,E07000046,CD,2050
785,H2,E07000047,CD,2050
786,H2,E07000061,CD,2050
787,H2,E07000062,CD,2050
788,H2,E07000063,CD,2050
789,H2,E07000064,CD,2050
790,H2,E07000065,CD,2050
791,H2,E07000066,CD,2050
792,H2,E07000067,CD,2050
793,H2,E07000068,CD,2050
794,H2,E07000069,CD,2045
795,H2,E07000070,CD,2050
796,H2,E07000071,CD,2050
797,H2,E07000072,CD,2050
798,H2,E07000073,CD,2050
799,H2,E07000074,CD,2050
800,H2,E07000075,CD,2050
801,H2,E07000076,CD,2050
802,H2,E07000077,CD,2050
803,H2,E07000078,CD,2050
804,H2,E07000079,CD,2050
805,H2,E07000080,CD,2050
806,H2,E07000081,CD,2050
807,H2,E07000082,CD,2050
808,H2,E07000083,CD,2050
809,H2,E07000084,CD,2050
810,H2,E07000085,CD,2050
811,H2,E07000086,CD,2050
812,H2,E07000087,CD,2050
813,H2,E07000088,CD,2050
814,H2,E07000089,CD,2045
815,H2,E07000090,CD,2050
816,H2,E07000091,CD,2050
817,H2,E07000092,CD,2050
818,H2,E07000093,CD,2050
819,H2,E07000094,CD,2050
820,H2,E07000095,CD,2050
821,H2,E07000096,CD,2050
822,H2,E07000098,CD,2050
823,H2,E07000099,CD,2050
824,H2,E07000102,CD,2050
825,H2,E07000103,CD,2050
826,H2,E07000105,CD,2050
827,H2,E07000106,CD,2050
828,H2,E07000107,CD,2050
829,H2,E07000108,CD,2050
830,H2,E07000109,CD,2050
831,H2,E07000110,CD,2050
832,H2,E07000111,CD,2050
833,H2,E07000112,CD,2050
834,H2,E07000113,CD,2050
835,H2,E07000114,CD,2050
836,H2,E07000115,CD,2050
837,H2,E07000116,CD,2050
838,H2,E07000117,CD,2050
839,H2,E07000118,CD,2050
840,H2,E07000119,CD,2050
841,H2,E07000120,CD,2050
842,H2,E07000121,CD,2050
843,H2,E07000122,CD,2050
844,H2,E07000123,CD,2045
845,H2,E07000124,CD,2050
846,H2,E07000125,CD,2050
847,H2,E07000126,CD,2050
848,H2,E07000127,CD,2045
849,H2,E07000128,CD,2050
850,H2,E07000129,CD,2050
851,H2,E07000130,CD,2050
852,H2,E07000131,CD,2050
853,H2,E07000132,CD,2050
854,H2,E07000133,CD,2045
855,H2,E07000134,CD,2050
856,H2,E07000135,CD,2050
857,H2,E07000136,CD,2045
858,H2,E07000137,CD,2050
859,H2,E07000138,CD,2050
860,H2,E07000139,CD,2045
861,H2,E07000140,CD,2045
862,H2,E07000141,CD,2045
863,H2,E07000142,CD,2045
864,H2,E07000143,CD,2050
865,H2,E07000144,CD,2050
866,H2,E07000145,CD,2050
867,H2,E07000146,CD,2050
