TECHNOLOGY,RUN,YEAR,VALUE
Wet heating system,nz-2045_hp-00,2045,2.2284773169796335
Wet heating system,nz-2045_hp-00,2050,2.2183280406528665
Wet heating system,nz-2045_hp-00,2055,2.183840511004126
Wet heating system,nz-2045_hp-01,2015,1.1817667782284533
Wet heating system,nz-2045_hp-01,2023,1.2000995794856337
Wet heating system,nz-2045_hp-01,2025,1.2874040451697415
Wet heating system,nz-2045_hp-01,2030,1.5398765061173199
Wet heating system,nz-2045_hp-01,2035,1.7707638743107328
Wet heating system,nz-2045_hp-01,2040,2.07364544753387
Wet heating system,nz-2045_hp-01,2045,2.2174032971686053
Wet heating system,nz-2045_hp-01,2050,2.216471319303917
Wet heating system,nz-2045_hp-01,2055,2.175101494489043
Wet heating system,nz-2050_hp-00,2015,1.2619488099804668
Wet heating system,nz-2050_hp-00,2023,1.2909525711953063
Wet heating system,nz-2050_hp-00,2025,1.2436490057404492
Wet heating system,nz-2050_hp-00,2030,1.2058731096275368
Wet heating system,nz-2050_hp-00,2035,1.1540654869840572
Wet heating system,nz-2050_hp-00,2040,1.1291073240921883
Wet heating system,nz-2050_hp-00,2045,1.135119769111107
Wet heating system,nz-2050_hp-00,2050,1.1442049897616895
Wet heating system,nz-2050_hp-00,2055,1.1167993170208692
Wet heating system,nz-2050_hp-01,2015,1.4473322466318674
Wet heating system,nz-2050_hp-01,2023,1.4798911163266928
Wet heating system,nz-2050_hp-01,2025,1.4011868937360692
Wet heating system,nz-2050_hp-01,2030,1.3627079873479915
Wet heating system,nz-2050_hp-01,2035,1.1599987071130362
Wet heating system,nz-2050_hp-01,2040,0.8918958028709272
Wet heating system,nz-2050_hp-01,2045,0.6759941072439036
Wet heating system,nz-2050_hp-01,2050,0.6847356629511674
Wet heating system,nz-2050_hp-01,2055,0.6974813468373992
Others,nz-2040_hp-00,2015,0.0006486579897740509
Others,nz-2040_hp-00,2023,0.0005918771890855301
Others,nz-2040_hp-00,2025,0.0005242588332264518
Others,nz-2040_hp-00,2030,0.0004218298793641804
Others,nz-2040_hp-00,2035,0.0003125403285524171
Others,nz-2040_hp-00,2040,0.00019665830224474166
Others,nz-2040_hp-00,2045,7.521981019797676e-05
Others,nz-2040_hp-00,2050,4.208376188360276e-08
Others,nz-2040_hp-00,2055,5.357288561258545e-08
Others,nz-2040_hp-01,2015,0.000648643146277137
Others,nz-2040_hp-01,2023,0.0005918515783558086
Others,nz-2040_hp-01,2025,0.0005242500991024127
Others,nz-2040_hp-01,2030,0.0004218199884371152
Others,nz-2040_hp-01,2035,0.00031253008440959183
Others,nz-2040_hp-01,2040,0.0001966475017401292
Others,nz-2040_hp-01,2045,7.520839938211534e-05
Others,nz-2040_hp-01,2050,1.9048836783339545e-08
Others,nz-2040_hp-01,2055,4.5902370981792986e-08
Others,nz-2045_hp-00,2015,0.0006486427628519186
Others,nz-2045_hp-00,2023,0.0005918568393135342
Others,nz-2045_hp-00,2025,0.0005242505208612266
Others,nz-2045_hp-00,2030,0.00042182019945484153
Others,nz-2045_hp-00,2035,0.00031253077244343305
Others,nz-2045_hp-00,2040,0.00019665073284393396
Others,nz-2045_hp-00,2045,7.520896731325612e-05
Others,nz-2045_hp-00,2050,6.640606477533766e-09
Others,nz-2045_hp-00,2055,6.840545788253763e-09
Others,nz-2045_hp-01,2015,0.0006486424249136408
Others,nz-2045_hp-01,2023,0.0005918494525453196
Others,nz-2045_hp-01,2025,5.88658875207548
Others,nz-2045_hp-01,2030,69.0538859496428
Others,nz-2045_hp-01,2035,58.482154611153334
Others,nz-2045_hp-01,2040,42.8446644543202
Others,nz-2045_hp-01,2045,17.40094957213461
Others,nz-2045_hp-01,2050,1.6768531569932285e-08
Others,nz-2045_hp-01,2055,4.6486354065360845e-08
Others,nz-2050_hp-00,2015,0.0006486384683918638
Others,nz-2050_hp-00,2023,0.0005918414626307625
Others,nz-2050_hp-00,2025,0.0005242465085707873
Others,nz-2050_hp-00,2030,0.00042181588402214815
Others,nz-2050_hp-00,2035,0.00031252600805343204
Others,nz-2050_hp-00,2040,0.0001966431042555944
Others,nz-2050_hp-00,2045,7.520372654168481e-05
Others,nz-2050_hp-00,2050,1.3343761229856236e-10
Others,nz-2050_hp-00,2055,1.4398940417405033e-10
Others,nz-2050_hp-01,2015,0.0006486448065917769
Others,nz-2050_hp-01,2023,0.0005918602580369145
Others,nz-2050_hp-01,2025,0.0005242531514482074
Others,nz-2050_hp-01,2030,0.00042184453533310835
Others,nz-2050_hp-01,2035,0.00031253258440144355
Others,nz-2050_hp-01,2040,0.0001966529886371007
Others,nz-2050_hp-01,2045,7.521135030630096e-05
Others,nz-2050_hp-01,2050,3.58052691494583e-08
Others,nz-2050_hp-01,2055,3.6551924794396696e-08
